author-name,rev-str,file,added-atoms,added-non-atoms
Devesh Sharma,2,1,0,50
Selvin Xavier,1,1,0,0
Jan Sokolowski,1,1,1,38
Waiman Long,2,4,1,17
Dinh Nguyen,1,1,0,64
Somnath Kotur,5,5,17,187
Scott Mayhew,1,1,1,7
Tomas Winkler,1,2,0,9
Jakub Kicinski,3,4,3,89
James Smart,17,11,5,241
Chandan Rajendra,1,1,3,40
Ioan Nicu,1,4,0,133
Lorenzo Pieralisi,2,2,0,2
Ludovic Desroches,1,1,0,0
Stafford Horne,1,1,0,0
Steffen Klassert,2,2,0,0
Colin Parker,1,1,0,0
Jan Kara,2,2,4,33
Andrey Smirnov,1,1,0,0
Wouter Verhelst,1,1,0,0
Ard Biesheuvel,1,1,2,13
Viresh Kumar,1,1,1,24
Behan Webster,1,1,0,0
Minchan Kim,1,1,4,64
Suniel Mahesh,1,1,0,0
Chun-Yi Lee,2,1,1,10
Matan Barak,1,1,0,0
Sean Wang,1,1,0,0
Andrea Arcangeli,2,2,2,28
Zhenzhong Duan,2,2,0,0
Xin Long,17,8,6,152
Marc Kleine-Budde,2,1,3,65
Hans Wippel,2,2,1,13
Mark Rutland,4,6,2,127
Dragos Bogdan,2,3,2,120
Wolfram Sang,1,1,0,0
Luc Van Oostenryck II,1,1,0,0
Harish Chegondi,1,1,0,33
Christophe Jaillet,2,2,0,29
satoru takeuchi,1,1,0,0
Greg Kroah-Hartman,8,47,51,1558
Amir Goldstein,6,10,6,202
Benjamin Block,1,1,1,71
Marek Szyprowski,4,3,0,21
Jarkko Nikula,2,4,3,80
Willem de Bruijn,4,3,1,68
Parav Pandit,3,6,0,3
Thomas Falcon,1,1,0,17
Benjamin Herrenschmidt,1,1,0,0
Oscar Mateo,1,3,0,61
John Johansen,14,20,67,3593
Nikolay Aleksandrov,2,2,0,24
Michal Simek,1,1,0,0
Christos Gkekas,1,1,0,2
Luca Coelho,1,1,0,0
Helge Deller,12,17,3,134
Vitaly Kuznetsov,2,3,4,157
Michael J. Ruhl,1,1,6,21
Nicholas Piggin,1,1,0,0
Kamenee Arumugam,1,1,0,15
Lu Baolu,1,1,2,25
Daniel Drake,2,2,2,32
Zi Yan,1,1,0,1
Matt Fornero,1,1,0,0
Joerg Roedel,1,1,0,6
Ed Blake,2,2,1,44
Shaul Triebitz,1,4,4,49
Alexey Brodkin,1,7,0,0
Lars-Peter Clausen,1,1,0,1
leilei.lin,1,1,0,0
Netanel Belgazal,3,2,1,8
NeilBrown,1,1,0,0
Craig Gallek,1,3,1,4
Ilya Lesokhin,2,2,1,104
Mark Brown,1,2,0,0
Sargun Dhillon,1,1,1,11
Guilherme G. Piccoli,2,2,0,40
Naohiro Aota,4,3,2,95
Himanshu Jha,1,1,0,3
Wolfgang Grandegger,1,1,1,8
Eugen Hristev,3,3,1,50
Santosh Shilimkar,1,1,0,15
Tony Lindgren,1,1,0,65
Goffredo Baroncelli,1,1,0,5
Nicolas Ferre,1,1,0,8
Josh Poimboeuf,12,20,6,175
Rik van Riel,1,2,5,98
Guenter Roeck,4,4,0,83
David S. Miller,30,165,168,5931
Maarten Lankhorst,1,1,0,1
"Amrani, Ram",2,2,0,45
David Wu,1,2,13,594
Lukas Czerner,2,3,8,211
Dmitry Mastykin,1,1,0,9
Jia-Ju Bai,1,1,0,0
Gal Pressman,3,5,0,66
Cong Wang,2,4,4,63
Pavel Roskin,1,1,1,24
Tsutomu Itoh,2,2,0,0
John Keeping,1,2,0,65
Arvind Yadav,6,6,1,30
Sankar Patchineelam,1,1,0,0
Yong Wu,2,2,0,5
Wei Yongjun,2,2,0,5
Alexandru Moise,2,2,1,6
Shuah Khan,8,5,4,32
ZHU Yi (ST-FIR/ENG1-Zhu),6,1,5,263
Grygorii Strashko,2,2,1,63
Roderick Colenbrander,1,1,1,264
Jose Abreu,4,3,3,35
Ricardo Ribalda Delgado,1,1,13,380
Nisar Sayed,3,1,4,73
Maksim Salau,1,1,0,11
Enric Balletbo i Serra,1,1,0,0
Yoshihiro Shimoda,5,2,7,133
kbuild test robot,1,1,0,1
Eugeniy Paltsev,6,6,0,2
Laurent Dufour,1,1,2,28
Pontus Andersson,1,1,0,33
Kevin Cernekee,1,1,0,12
Martin K. Petersen,2,4,5,106
Inbar Karmy,1,5,0,19
Hamza Attak,1,5,0,31
Leon Romanovsky,2,5,1,53
Jani Nikula,3,3,3,111
Gavin Shan,3,2,0,56
Sean Fu,1,1,0,0
Brian Foster,2,4,0,87
Kirill Tkhai,1,1,2,28
Andrew Gabbasov,2,5,2,116
Suzuki K Poulose,2,3,0,0
Linus Torvalds,181,1328,1025,40305
Jonathan Brassow,1,2,2,23
Imre Deak,3,4,1,18
Jon Hunter,1,1,2,33
Florian Fainelli,5,8,2,80
Kees Cook,4,3,1,80
Vineet Gupta,4,4,0,119
Steve Wise,3,1,1,42
Rodrigo Vivi,3,3,2,69
Thomas Richter,2,4,0,7
Tyler Baicar,1,1,0,10
Artem Savkov,2,6,1,42
Nicolai Stange,1,1,0,45
Mimi Zohar,1,1,0,0
Thomas Gleixner,13,17,4,192
Michael Chan,4,4,16,266
Huang Ying,1,2,0,18
Radim Krčmář,1,3,3,37
Manasi Navare,2,1,0,5
Sebastian Sanchez,2,3,6,209
Thomas Huth,1,1,0,0
