proj,in-function,comment,atom,count
gecko-dev,true,false,literal-encoding,201
gecko-dev,true,false,conditional,21897
emacs,false,false,macro-operator-precedence,1
gecko-dev,true,false,preprocessor-in-statement,1271
gcc,true,true,repurposed-variable,615
gcc,false,true,implicit-predicate,29
vim,false,false,,90815
gcc,false,false,post-increment,13
emacs,false,true,,9226
vim,false,false,conditional,3
emacs,false,false,type-conversion,1
clang,true,true,comma-operator,127
webkit,false,true,macro-operator-precedence,3
clang,true,false,implicit-predicate,1462
gcc,true,false,operator-precedence,56822
emacs,false,false,assignment-as-value,1
httpd,true,false,pre-increment,126
vim,true,false,type-conversion,5
linux,false,false,literal-encoding,666
gecko-dev,true,false,macro-operator-precedence,5
mongo,false,false,repurposed-variable,25
git,false,false,comma-operator,4
httpd,true,true,,12671
linux,true,false,pre-increment,5289
linux,false,false,repurposed-variable,1345
subversion,true,true,implicit-predicate,10
emacs,true,false,type-conversion,370
gcc,false,false,repurposed-variable,1969
httpd,true,false,logic-as-control-flow,171
linux,false,true,macro-operator-precedence,28
nginx,true,false,comma-operator,58
linux,false,false,comma-operator,1391
gecko-dev,true,true,omitted-curly-braces,3381
webkit,true,true,type-conversion,14
gecko-dev,true,true,,408993
webkit,false,false,macro-operator-precedence,366
subversion,false,true,,9523
emacs,false,false,logic-as-control-flow,94
mongo,true,true,assignment-as-value,109
freebsd,false,false,comma-operator,1926
mongo,true,false,literal-encoding,48
gecko-dev,true,true,preprocessor-in-statement,11
gecko-dev,false,true,conditional,165
mongo,false,false,post-increment,5
gcc,false,false,type-conversion,90
mysql-server,false,false,post-increment,1
gecko-dev,false,false,,9889398
gcc,true,true,macro-operator-precedence,2
nginx,true,false,repurposed-variable,148
gecko-dev,false,false,post-increment,2
gecko-dev,false,false,conditional,189
webkit,true,true,pre-increment,26
linux,false,false,assignment-as-value,50
gcc,true,true,post-increment,345
emacs,true,false,assignment-as-value,944
vim,false,false,operator-precedence,3
httpd,true,true,type-conversion,3
vim,true,true,repurposed-variable,43
linux,true,false,operator-precedence,498693
freebsd,true,false,macro-operator-precedence,41
mysql-server,true,true,,202225
webkit,true,true,conditional,63
mysql-server,false,false,logic-as-control-flow,59
webkit,false,false,logic-as-control-flow,1
freebsd,true,true,operator-precedence,3637
webkit,true,false,type-conversion,596
mysql-server,true,true,comma-operator,38
mysql-server,true,true,conditional,121
mysql-server,false,false,implicit-predicate,431
mysql-server,false,false,assignment-as-value,6
vim,true,false,implicit-predicate,1006
mongo,true,false,logic-as-control-flow,424
mysql-server,false,true,macro-operator-precedence,1
freebsd,true,false,assignment-as-value,40876
httpd,true,false,,874622
mongo,true,false,post-increment,3024
clang,false,true,implicit-predicate,22
httpd,true,false,post-increment,563
clang,true,true,conditional,520
subversion,false,false,comma-operator,22
mongo,true,true,logic-as-control-flow,36
httpd,false,false,operator-precedence,9
