proj,in-function,comment,atom,count
vim,false,false,omitted-curly-braces,4
linux,true,true,pre-increment,175
httpd,false,false,type-conversion,1
gcc,true,false,operator-precedence,56485
clang,false,false,reversed-subscript,1
webkit,true,true,repurposed-variable,78
mysql-server,true,false,assignment-as-value,7520
linux,true,false,post-increment,20354
mysql-server,true,false,post-increment,3726
linux,false,false,operator-precedence,16299
gecko-dev,true,false,,31665914
clang,true,true,post-increment,115
gecko-dev,false,false,operator-precedence,99
mysql-server,false,true,,146741
gcc,true,true,post-increment,382
nginx,true,true,repurposed-variable,2
subversion,true,true,pre-increment,1
clang,false,false,,1226859
webkit,true,true,operator-precedence,662
gcc,true,true,implicit-predicate,1873
gecko-dev,true,true,implicit-predicate,423
gecko-dev,false,true,,953050
linux,true,true,comma-operator,161
git,true,true,type-conversion,1
git,true,false,implicit-predicate,2750
vim,true,false,operator-precedence,2086
clang,true,false,repurposed-variable,1717
gcc,true,true,type-conversion,489
clang,true,true,preprocessor-in-statement,6
emacs,false,false,,192149
gcc,false,false,comma-operator,71
clang,true,true,,391234
clang,false,false,implicit-predicate,19
gcc,true,false,literal-encoding,937
mongo,false,false,comma-operator,37
clang,true,true,pre-increment,119
gecko-dev,false,false,,1
gecko-dev,true,false,comma-operator,10625
mongo,true,false,assignment-as-value,3952
gecko-dev,true,false,macro-operator-precedence,571
linux,false,true,conditional,3
emacs,true,true,conditional,24
linux,false,true,,1938877
linux,true,false,pre-increment,5211
git,true,false,operator-precedence,6345
gcc,true,false,preprocessor-in-statement,1872
freebsd,false,false,omitted-curly-braces,189
subversion,true,false,implicit-predicate,386
clang,true,true,reversed-subscript,5
git,false,true,,5318
subversion,true,false,operator-precedence,4286
gcc,true,false,type-conversion,3756
linux,true,false,omitted-curly-braces,549487
clang,true,true,assignment-as-value,188
gcc,false,true,operator-precedence,168
subversion,true,true,type-conversion,1
git,true,false,post-increment,736
emacs,false,true,,10111
freebsd,true,false,type-conversion,1697
