selection,parent-type,node-type,child-type,count
operator-precedence,shiftRight,tilde,array-subscript,2
parens,lessThan,bracketedPrimary,binaryAnd,445
parens,not,bracketedPrimary,prefixIncr,20
parens,<ConstructorInitializer>,bracketedPrimary,conditional,60
parens,assign,bracketedPrimary,binaryAnd,3205
operator-precedence,shiftRight,minus2,,65
parens,binaryAndAssign,bracketedPrimary,function-call,1
parens,modulo,bracketedPrimary,minus1,17
parens,binaryOr,bracketedPrimary,expression-list,2
parens,modulo,bracketedPrimary,shiftLeft,104
superfluous-parens,assign,bracketedPrimary,function-call,392
parens,<ExpressionStatement>,bracketedPrimary,equals,1
operator-precedence,minus2,minus1,<LiteralExpression>,394
parens,modulo,bracketedPrimary,plus2,2820
superfluous-parens,shiftRight,bracketedPrimary,minus1,38
superfluous-parens,cast,bracketedPrimary,not,7
superfluous-parens,binaryOrAssign,bracketedPrimary,<LiteralExpression>,4
superfluous-parens,notequals,bracketedPrimary,not,64
superfluous-parens,delete,bracketedPrimary,field-reference,34
parens,greaterEqual,bracketedPrimary,plusAssign,304
superfluous-parens,modulo,bracketedPrimary,<TypeIdExpression>,2
operator-precedence,conditional,plus1,<IdExpression>,2
superfluous-parens,cast,bracketedPrimary,postFixIncr,24
superfluous-parens,shiftLeft,bracketedPrimary,field-reference,186
parens,expression-list,bracketedPrimary,modulo,1
parens,bracketedPrimary,bracketedPrimary,minusAssign,26
parens,<SwitchStatement>,bracketedPrimary,<IdExpression>,1
parens,minus1,bracketedPrimary,cast,56
parens,<ConstructorInitializer>,bracketedPrimary,array-subscript,37
parens,function-call,bracketedPrimary,lessEqual,77
superfluous-parens,bracketedPrimary,bracketedPrimary,binaryXor,2
superfluous-parens,binaryOr,bracketedPrimary,greaterEqual,25
parens,<Enumerator>,bracketedPrimary,function-call,4
parens,function-call,bracketedPrimary,function-call,992
parens,binaryOr,bracketedPrimary,logicalAnd,38
operator-precedence,greaterEqual,shiftRight,,77
operator-precedence,star,postFixIncr,array-subscript,9
parens,binaryXor,bracketedPrimary,<IdExpression>,6
superfluous-parens,equals,bracketedPrimary,shiftLeft,660
parens,lessThan,bracketedPrimary,logicalAnd,2
parens,<SimpleDeclSpecifier>,bracketedPrimary,greaterEqual,2
