selection,parent-type,node-type,child-type,count
parens,binaryAnd,bracketedPrimary,function-call,146
superfluous-parens,sizeof,bracketedPrimary,<IdExpression>,59942
parens,<SimpleDeclSpecifier>,bracketedPrimary,field-reference,44
parens,field-reference,bracketedPrimary,binaryOr,22
superfluous-parens,function-call,bracketedPrimary,shiftRight,643
operator-precedence,expression-list,prefixDecr,<IdExpression>,488
parens,plus1,bracketedPrimary,plus2,2
superfluous-parens,minusAssign,bracketedPrimary,lessThan,10
superfluous-parens,function-call,bracketedPrimary,binaryAndAssign,5
superfluous-parens,binaryAndAssign,bracketedPrimary,binaryXor,4
superfluous-parens,equals,bracketedPrimary,prefixDecr,20
superfluous-parens,logicalOr,bracketedPrimary,notequals,6155
superfluous-parens,conditional,bracketedPrimary,plus2,616
parens,greaterEqual,bracketedPrimary,minus2,675
superfluous-parens,binaryXor,bracketedPrimary,bracketedPrimary,1
parens,<SimpleDeclSpecifier>,bracketedPrimary,conditional,15
parens,array-subscript,bracketedPrimary,greaterThan,1
parens,multiplyAssign,bracketedPrimary,function-call,1
operator-precedence,binaryAnd,shiftLeft,,6
parens,<SimpleDeclSpecifier>,bracketedPrimary,plus2,67
operator-precedence,binaryAnd,prefixIncr,star,2
parens,<ExpressionStatement>,bracketedPrimary,<SimpleTypeConstructorExpression>,3
parens,logicalAnd,bracketedPrimary,logicalOr,33842
parens,minus2,bracketedPrimary,minus2,2700
superfluous-parens,binaryOrAssign,bracketedPrimary,logicalAnd,32
parens,binaryAnd,bracketedPrimary,plus2,4271
operator-precedence,conditional,plus1,<LiteralExpression>,56
operator-precedence,expression-list,divide,,245
parens,minus2,bracketedPrimary,prefixIncr,2
parens,postFixIncr,bracketedPrimary,prefixIncr,1
superfluous-parens,logicalOr,bracketedPrimary,minus1,2
parens,shiftRightAssign,bracketedPrimary,shiftLeft,3
parens,<InitializerList>,bracketedPrimary,minus1,2
parens,cast,bracketedPrimary,modulo,181
parens,plusAssign,bracketedPrimary,binaryXor,6
parens,sizeof,bracketedPrimary,expression-list,38
parens,plusAssign,bracketedPrimary,<LiteralExpression>,5
operator-precedence,binaryOr,minus1,field-reference,4
parens,prefixIncr,bracketedPrimary,array-subscript,16
operator-precedence,logicalAnd,not,not,153
operator-precedence,lessThan,shiftLeft,,460
operator-precedence,lessThan,not,field-reference,85
superfluous-parens,minusAssign,bracketedPrimary,greaterThan,25
parens,plus2,bracketedPrimary,divide,1973
superfluous-parens,shiftRight,bracketedPrimary,shiftLeft,326
parens,lessThan,bracketedPrimary,lessThan,3
operator-precedence,plus2,plus1,<LiteralExpression>,2
operator-precedence,binaryXor,multiply,,50
superfluous-parens,logicalOr,bracketedPrimary,divide,3
superfluous-parens,plus2,bracketedPrimary,prefixIncr,1
superfluous-parens,shiftRight,bracketedPrimary,cast,275
parens,star,bracketedPrimary,shiftRight,10
superfluous-parens,minus2,bracketedPrimary,plus2,603
parens,notequals,bracketedPrimary,shiftRightAssign,10
parens,equals,bracketedPrimary,postFixIncr,3
operator-precedence,divide,tilde,bracketedPrimary,14
parens,lessEqual,bracketedPrimary,lessThan,9
parens,multiply,bracketedPrimary,conditional,566
parens,shiftLeft,bracketedPrimary,tilde,65
parens,binaryAndAssign,bracketedPrimary,minusAssign,1
parens,modulo,bracketedPrimary,equals,6
parens,<ReturnStatement>,bracketedPrimary,expression-list,51
superfluous-parens,greaterThan,bracketedPrimary,<TypeIdExpression>,2
parens,bracketedPrimary,bracketedPrimary,bracketedPrimary,603
operator-precedence,notequals,tilde,<LiteralExpression>,319
superfluous-parens,throw,bracketedPrimary,<LiteralExpression>,9
parens,lessThan,bracketedPrimary,bracketedPrimary,14
operator-precedence,equals,tilde,<LiteralExpression>,311
parens,equals,bracketedPrimary,plus2,824
superfluous-parens,binaryOrAssign,bracketedPrimary,conditional,203
parens,delete,bracketedPrimary,function-call,1
operator-precedence,minus1,not,not,4
parens,<IfStatement>,bracketedPrimary,function-call,102
parens,array-subscript,bracketedPrimary,plus2,117
parens,<ReturnStatement>,bracketedPrimary,plus2,1406
superfluous-parens,shiftRightAssign,bracketedPrimary,greaterThan,2
parens,<PackExpansionExpression>,bracketedPrimary,plus2,10
superfluous-parens,array-subscript,bracketedPrimary,minus2,177
superfluous-parens,sizeof,bracketedPrimary,star,39386
parens,modulo,bracketedPrimary,binaryOr,25
operator-precedence,binaryOr,shiftRight,,5
operator-precedence,plus2,tilde,star,7
superfluous-parens,logicalAnd,bracketedPrimary,prefixDecr,25
parens,shiftLeft,bracketedPrimary,equals,191
parens,expression-list,bracketedPrimary,binaryOr,12
superfluous-parens,function-call,bracketedPrimary,function-call,974
parens,<TemplateId>,bracketedPrimary,lessThan,9
superfluous-parens,multiply,bracketedPrimary,prefixDecr,8
parens,multiplyAssign,bracketedPrimary,divide,34
operator-precedence,modulo,minus1,field-reference,7
superfluous-parens,amper,bracketedPrimary,bracketedPrimary,10
superfluous-parens,binaryXorAssign,bracketedPrimary,binaryXor,22
parens,pmdot,bracketedPrimary,<IdExpression>,6
parens,<UnaryExpression>,bracketedPrimary,<IdExpression>,155
operator-precedence,expression-list,postFixDecr,<IdExpression>,1324
superfluous-parens,prefixIncr,bracketedPrimary,array-subscript,16
parens,<ReturnStatement>,bracketedPrimary,pmarrow,4
parens,not,bracketedPrimary,plusAssign,2
superfluous-parens,conditional,bracketedPrimary,<IdExpression>,1902
parens,pmarrow,bracketedPrimary,<LiteralExpression>,2
parens,divide,bracketedPrimary,notequals,1
parens,not,bracketedPrimary,binaryOrAssign,3
parens,minusAssign,bracketedPrimary,minus2,322
operator-precedence,not,tilde,function-call,4
operator-precedence,conditional,not,function-call,759
parens,logicalOr,bracketedPrimary,not,1480
superfluous-parens,plus2,bracketedPrimary,array-subscript,96
parens,conditional,bracketedPrimary,cast,62
superfluous-parens,greaterThan,bracketedPrimary,star,43
parens,<ReturnStatement>,bracketedPrimary,lessThan,259
parens,cast,bracketedPrimary,plus2,14966
operator-precedence,plus2,tilde,cast,3
superfluous-parens,array-subscript,bracketedPrimary,shiftRight,208
parens,<IfStatement>,bracketedPrimary,greaterEqual,29
parens,<EqualsInitializer>,bracketedPrimary,<IdExpression>,148
parens,<UnaryExpression>,bracketedPrimary,field-reference,35
parens,binaryOr,bracketedPrimary,<IdExpression>,249
parens,expression-list,bracketedPrimary,logicalAnd,16
parens,modulo,bracketedPrimary,function-call,14
parens,conditional,bracketedPrimary,minus2,1113
parens,modulo,bracketedPrimary,binaryXor,16
parens,binaryXor,bracketedPrimary,star,27
operator-precedence,binaryAnd,minus1,not,2
parens,binaryAnd,bracketedPrimary,array-subscript,384
superfluous-parens,binaryAndAssign,bracketedPrimary,equals,77
parens,equals,bracketedPrimary,<IdExpression>,191
superfluous-parens,equals,bracketedPrimary,cast,160
parens,function-call,bracketedPrimary,shiftLeft,1919
superfluous-parens,prefixDecr,bracketedPrimary,prefixIncr,1
operator-precedence,multiply,not,<LiteralExpression>,2
parens,shiftRight,bracketedPrimary,<IdExpression>,328
parens,binaryOrAssign,bracketedPrimary,binaryAndAssign,2
parens,<ConstructorInitializer>,bracketedPrimary,multiply,3
parens,<InitializerList>,bracketedPrimary,shiftLeft,717
operator-precedence,logicalOr,notequals,,1893
operator-precedence,binaryOr,tilde,<LiteralExpression>,23
parens,minusAssign,bracketedPrimary,conditional,21
superfluous-parens,divideAssign,bracketedPrimary,shiftRight,19
superfluous-parens,lessThan,bracketedPrimary,postFixDecr,2
operator-precedence,logicalAnd,not,<LiteralExpression>,67
operator-precedence,binaryXor,greaterEqual,,22
parens,plus1,bracketedPrimary,array-subscript,2
operator-precedence,binaryAnd,greaterThan,,72
parens,field-reference,bracketedPrimary,array-subscript,269
parens,<SwitchStatement>,bracketedPrimary,shiftLeft,1
operator-precedence,equals,tilde,bracketedPrimary,29
superfluous-parens,multiply,bracketedPrimary,postFixIncr,68
parens,equals,bracketedPrimary,shiftRightAssign,1
parens,multiply,bracketedPrimary,minus2,10936
superfluous-parens,binaryAndAssign,bracketedPrimary,array-subscript,6
operator-precedence,greaterEqual,tilde,<IdExpression>,3
parens,binaryOr,bracketedPrimary,greaterThan,58
superfluous-parens,binaryAndAssign,bracketedPrimary,minus2,159
parens,plusAssign,bracketedPrimary,shiftRight,259
superfluous-parens,plus2,bracketedPrimary,not,24
parens,logicalAnd,bracketedPrimary,star,92
operator-precedence,binaryOr,tilde,<IdExpression>,182
operator-precedence,logicalAnd,minus1,field-reference,1
operator-precedence,plus2,modulo,,826
superfluous-parens,lessThan,bracketedPrimary,prefixDecr,12
parens,divideAssign,bracketedPrimary,plus2,43
superfluous-parens,shiftLeft,bracketedPrimary,star,235
superfluous-parens,plusAssign,bracketedPrimary,field-reference,29
superfluous-parens,logicalOr,bracketedPrimary,lessThan,3773
operator-precedence,binaryAnd,binaryAnd,,208
superfluous-parens,cast,bracketedPrimary,amper,1488
parens,lessThan,bracketedPrimary,notequals,6
parens,minusAssign,bracketedPrimary,field-reference,6
superfluous-parens,equals,bracketedPrimary,shiftRight,691
parens,binaryAnd,bracketedPrimary,binaryOr,12100
parens,<SimpleDeclSpecifier>,bracketedPrimary,prefixIncr,1
parens,equals,bracketedPrimary,minus1,28
superfluous-parens,assign,bracketedPrimary,binaryXorAssign,4
parens,lessEqual,bracketedPrimary,prefixDecr,8
superfluous-parens,plusAssign,bracketedPrimary,lessThan,53
parens,bracketedPrimary,bracketedPrimary,new,1
superfluous-parens,delete,bracketedPrimary,cast,5
parens,expression-list,bracketedPrimary,binaryAnd,40
superfluous-parens,expression-list,bracketedPrimary,assign,76
parens,plus2,bracketedPrimary,multiply,8656
parens,logicalAnd,bracketedPrimary,conditional,318
parens,<DoStatement>,bracketedPrimary,function-call,5
superfluous-parens,equals,bracketedPrimary,plus2,818
superfluous-parens,binaryXor,bracketedPrimary,minus1,1
parens,modulo,bracketedPrimary,modulo,39
parens,moduloAssign,bracketedPrimary,conditional,2
superfluous-parens,plusAssign,bracketedPrimary,shiftRight,255
parens,binaryAnd,bracketedPrimary,greaterThan,118
parens,binaryAndAssign,bracketedPrimary,cast,1
parens,logicalOr,bracketedPrimary,conditional,182
parens,postFixDecr,bracketedPrimary,cast,4
superfluous-parens,binaryOr,bracketedPrimary,function-call,177
parens,modulo,bracketedPrimary,bracketedPrimary,1
parens,binaryOrAssign,bracketedPrimary,<LiteralExpression>,4
parens,<InitializerList>,bracketedPrimary,amper,2
superfluous-parens,field-reference,bracketedPrimary,field-reference,1586
superfluous-parens,greaterThan,bracketedPrimary,postFixDecr,13
operator-precedence,binaryAnd,star,postFixIncr,324
parens,shiftLeft,bracketedPrimary,multiply,1745
superfluous-parens,amper,bracketedPrimary,prefixIncr,2
parens,<CaseStatement>,bracketedPrimary,function-call,2
superfluous-parens,array-subscript,bracketedPrimary,binaryAnd,144
parens,greaterThan,bracketedPrimary,array-subscript,828
superfluous-parens,notequals,bracketedPrimary,lessEqual,25
parens,<DoStatement>,bracketedPrimary,prefixDecr,5
parens,plusAssign,bracketedPrimary,<IdExpression>,63
parens,greaterThan,bracketedPrimary,divideAssign,16
operator-precedence,binaryAnd,minus1,cast,35
parens,greaterEqual,bracketedPrimary,multiply,168
operator-precedence,shiftRight,tilde,bracketedPrimary,10
superfluous-parens,notequals,bracketedPrimary,divide,106
parens,<FieldDeclarator>,bracketedPrimary,conditional,15
superfluous-parens,assign,bracketedPrimary,assign,56
parens,<ExpressionStatement>,bracketedPrimary,logicalAnd,1
parens,divide,bracketedPrimary,<IdExpression>,132
parens,binaryAndAssign,bracketedPrimary,binaryAnd,47
superfluous-parens,lessEqual,bracketedPrimary,prefixIncr,1
superfluous-parens,expression-list,bracketedPrimary,new,1
parens,<CaseStatement>,bracketedPrimary,<IdExpression>,1195
superfluous-parens,cast,bracketedPrimary,new,7
operator-precedence,binaryXor,binaryXor,,12
superfluous-parens,conditional,bracketedPrimary,prefixDecr,1
parens,<SimpleDeclSpecifier>,bracketedPrimary,multiplyAssign,1
superfluous-parens,array-subscript,bracketedPrimary,notequals,3
parens,bracketedPrimary,bracketedPrimary,greaterThan,237
parens,shiftLeft,bracketedPrimary,binaryXor,126
parens,<TemplateId>,bracketedPrimary,plus2,15
parens,divide,bracketedPrimary,divide,911
parens,minus2,bracketedPrimary,field-reference,78
parens,not,bracketedPrimary,logicalOr,2650
superfluous-parens,throw,bracketedPrimary,<IdExpression>,5
operator-precedence,conditional,tilde,bracketedPrimary,51
parens,binaryXor,bracketedPrimary,divide,30
parens,prefixDecr,bracketedPrimary,<IdExpression>,15
superfluous-parens,star,bracketedPrimary,field-reference,1285
operator-precedence,logicalOr,not,prefixDecr,8
parens,star,bracketedPrimary,field-reference,1291
parens,<TemplateId>,bracketedPrimary,amper,12
superfluous-parens,notequals,bracketedPrimary,minus2,421
superfluous-parens,star,bracketedPrimary,amper,22
operator-precedence,binaryXor,lessThan,,29
operator-precedence,minus2,not,field-reference,7
operator-precedence,modulo,not,<LiteralExpression>,1
parens,equals,bracketedPrimary,pmarrow,1
operator-precedence,plus2,postFixIncr,<IdExpression>,3
operator-precedence,notequals,not,<IdExpression>,133
operator-precedence,plus2,amper,field-reference,114
operator-precedence,greaterEqual,not,tilde,1
parens,<UnaryExpression>,bracketedPrimary,star,11
operator-precedence,divide,tilde,function-call,4
operator-precedence,shiftRight,minus1,function-call,23
superfluous-parens,binaryAnd,bracketedPrimary,<IdExpression>,4752
superfluous-parens,prefixDecr,bracketedPrimary,field-reference,121
parens,binaryAnd,bracketedPrimary,binaryAnd,404
parens,lessEqual,bracketedPrimary,<LiteralExpression>,5
operator-precedence,plus2,star,prefixDecr,3
parens,lessEqual,bracketedPrimary,function-call,25
parens,prefixDecr,bracketedPrimary,assign,1
parens,postFixIncr,bracketedPrimary,conditional,7
superfluous-parens,greaterEqual,bracketedPrimary,postFixIncr,4
parens,greaterEqual,bracketedPrimary,minus1,3
parens,<ReturnStatement>,bracketedPrimary,<TypeIdExpression>,62
parens,logicalOr,bracketedPrimary,shiftLeft,8
parens,conditional,bracketedPrimary,<LiteralExpression>,225
parens,equals,bracketedPrimary,plusAssign,10
parens,logicalOr,bracketedPrimary,function-call,461
parens,star,bracketedPrimary,greaterThan,6
superfluous-parens,equals,bracketedPrimary,field-reference,171
superfluous-parens,lessEqual,bracketedPrimary,<IdExpression>,70
superfluous-parens,plusAssign,bracketedPrimary,conditional,180
superfluous-parens,minus1,bracketedPrimary,bracketedPrimary,3
superfluous-parens,multiply,bracketedPrimary,array-subscript,33
parens,<EqualsInitializer>,bracketedPrimary,<TypeIdExpression>,1
superfluous-parens,binaryAndAssign,bracketedPrimary,lessThan,11
parens,field-reference,bracketedPrimary,assign,203
parens,<SwitchStatement>,bracketedPrimary,bracketedPrimary,1
parens,expression-list,bracketedPrimary,logicalOr,11
superfluous-parens,equals,bracketedPrimary,notequals,71
parens,sizeof,bracketedPrimary,equals,7
superfluous-parens,lessThan,bracketedPrimary,plus2,2033
operator-precedence,equals,tilde,star,4
superfluous-parens,conditional,bracketedPrimary,amper,26
operator-precedence,shiftLeft,multiply,,442
parens,array-subscript,bracketedPrimary,divide,44
parens,binaryAndAssign,bracketedPrimary,star,12
parens,lessEqual,bracketedPrimary,binaryXor,3
operator-precedence,plus2,minus1,field-reference,29
superfluous-parens,star,bracketedPrimary,star,69
operator-precedence,plus2,tilde,array-subscript,13
parens,field-reference,bracketedPrimary,postFixDecr,6
superfluous-parens,divide,bracketedPrimary,array-subscript,7
parens,bracketedPrimary,bracketedPrimary,modulo,195
operator-precedence,logicalAnd,not,cast,19
parens,<DoStatement>,bracketedPrimary,minusAssign,4
superfluous-parens,divide,bracketedPrimary,star,46
parens,shiftRight,bracketedPrimary,new,3
superfluous-parens,binaryXor,bracketedPrimary,function-call,11
parens,bracketedPrimary,bracketedPrimary,binaryXor,640
operator-precedence,greaterThan,shiftLeft,,252
parens,modulo,bracketedPrimary,<IdExpression>,41
superfluous-parens,multiplyAssign,bracketedPrimary,function-call,1
parens,<ConstructorInitializer>,bracketedPrimary,logicalAnd,2
parens,bracketedPrimary,bracketedPrimary,binaryAndAssign,326
parens,function-call,bracketedPrimary,plus2,2718
superfluous-parens,lessThan,bracketedPrimary,shiftLeft,777
superfluous-parens,binaryAnd,bracketedPrimary,lessEqual,34
operator-precedence,shiftLeft,star,function-call,263
superfluous-parens,plusAssign,bracketedPrimary,not,9
superfluous-parens,shiftRight,bracketedPrimary,<TypeIdExpression>,11
parens,notequals,bracketedPrimary,<IdExpression>,64
parens,divideAssign,bracketedPrimary,shiftLeft,13
parens,lessThan,bracketedPrimary,minus1,13
superfluous-parens,plusAssign,bracketedPrimary,lessEqual,5
parens,function-call,bracketedPrimary,greaterEqual,59
parens,<ForStatement>,bracketedPrimary,greaterEqual,3
parens,divide,bracketedPrimary,bracketedPrimary,23
superfluous-parens,assign,bracketedPrimary,<BinaryExpression>,2
parens,not,bracketedPrimary,minusAssign,24
parens,plus1,bracketedPrimary,multiplyAssign,2
operator-precedence,logicalOr,not,array-subscript,1257
parens,shiftLeft,bracketedPrimary,cast,2461
operator-precedence,minus2,tilde,<TypeIdExpression>,1
parens,multiply,bracketedPrimary,binaryOr,84
parens,<ReturnStatement>,bracketedPrimary,array-subscript,509
superfluous-parens,equals,bracketedPrimary,lessEqual,19
parens,function-call,bracketedPrimary,amper,216
operator-precedence,plus2,star,<IdExpression>,3071
parens,logicalOr,bracketedPrimary,lessEqual,774
superfluous-parens,binaryXorAssign,bracketedPrimary,<LiteralExpression>,1
superfluous-parens,equals,bracketedPrimary,minus2,888
operator-precedence,greaterEqual,not,not,6
parens,binaryXor,bracketedPrimary,binaryXor,52
parens,binaryXor,bracketedPrimary,lessEqual,4
parens,greaterEqual,bracketedPrimary,bracketedPrimary,3
operator-precedence,plus2,minus2,,8135
superfluous-parens,logicalOr,bracketedPrimary,modulo,139
parens,assign,bracketedPrimary,assign,63
superfluous-parens,binaryXorAssign,bracketedPrimary,star,17
parens,minusAssign,bracketedPrimary,binaryOr,1
superfluous-parens,cast,bracketedPrimary,star,561
parens,<ReturnStatement>,bracketedPrimary,new,37
superfluous-parens,plusAssign,bracketedPrimary,cast,6
superfluous-parens,expression-list,bracketedPrimary,greaterThan,5
operator-precedence,shiftLeft,minus1,field-reference,9
parens,tilde,bracketedPrimary,cast,104
operator-precedence,conditional,greaterThan,,5470
parens,<WhileStatement>,bracketedPrimary,logicalOr,5
superfluous-parens,minusAssign,bracketedPrimary,assign,4
parens,greaterThan,bracketedPrimary,new,964
parens,binaryOr,bracketedPrimary,equals,105
parens,plus1,bracketedPrimary,minus2,5
parens,greaterEqual,bracketedPrimary,modulo,43
operator-precedence,expression-list,not,field-reference,2
operator-precedence,divide,modulo,,21
parens,<ArrayModifier>,bracketedPrimary,multiply,15
parens,greaterThan,bracketedPrimary,shiftLeft,439
superfluous-parens,expression-list,bracketedPrimary,function-call,6
superfluous-parens,multiply,bracketedPrimary,sizeof,20
parens,greaterEqual,bracketedPrimary,binaryAnd,342
superfluous-parens,binaryOr,bracketedPrimary,<IdExpression>,249
parens,conditional,bracketedPrimary,not,236
parens,shiftLeft,bracketedPrimary,lessEqual,3
operator-precedence,modulo,minus1,<LiteralExpression>,22
parens,greaterThan,bracketedPrimary,postFixDecr,13
parens,plusAssign,bracketedPrimary,lessThan,53
parens,<ReturnStatement>,bracketedPrimary,amper,994
parens,<EqualsInitializer>,bracketedPrimary,cast,362
parens,logicalOr,bracketedPrimary,bracketedPrimary,102
parens,assign,bracketedPrimary,pmdot,1
parens,star,bracketedPrimary,minus2,1072
superfluous-parens,logicalAnd,bracketedPrimary,minus1,2
parens,greaterThan,bracketedPrimary,function-call,12901
parens,shiftLeft,bracketedPrimary,<TypeIdExpression>,2
parens,not,bracketedPrimary,postFixDecr,7
parens,bracketedPrimary,bracketedPrimary,equals,4543
superfluous-parens,binaryXor,bracketedPrimary,cast,54
operator-precedence,expression-list,lessThan,,4480
parens,assign,bracketedPrimary,amper,6
parens,equals,bracketedPrimary,<CompoundStatementExpression>,2
superfluous-parens,binaryXor,bracketedPrimary,greaterEqual,39
operator-precedence,minus2,tilde,bracketedPrimary,7
parens,star,bracketedPrimary,amper,22
parens,sizeof,bracketedPrimary,prefixIncr,4
operator-precedence,logicalAnd,not,<SimpleTypeConstructorExpression>,8
parens,binaryOrAssign,bracketedPrimary,greaterThan,20
operator-precedence,expression-list,amper,array-subscript,22
superfluous-parens,binaryXorAssign,bracketedPrimary,assign,13
parens,<WhileStatement>,bracketedPrimary,not,2
parens,cast,bracketedPrimary,assign,96
superfluous-parens,bracketedPrimary,bracketedPrimary,<IdExpression>,165
parens,bracketedPrimary,bracketedPrimary,shiftLeft,149698
operator-precedence,minus2,minus1,<IdExpression>,563
parens,not,bracketedPrimary,pmdot,2
parens,<PackExpansionExpression>,bracketedPrimary,<IdExpression>,4
parens,throw,bracketedPrimary,conditional,1
superfluous-parens,greaterEqual,bracketedPrimary,amper,1
parens,<TemplateId>,bracketedPrimary,expression-list,2
parens,<ForStatement>,bracketedPrimary,modulo,1
superfluous-parens,cast,bracketedPrimary,function-call,429
parens,notequals,bracketedPrimary,field-reference,57
superfluous-parens,bracketedPrimary,bracketedPrimary,shiftRight,95
parens,lessThan,bracketedPrimary,array-subscript,16
parens,<ExpressionStatement>,bracketedPrimary,field-reference,2
parens,<SwitchStatement>,bracketedPrimary,assign,92
superfluous-parens,plus2,bracketedPrimary,<TypeIdExpression>,17
operator-precedence,tilde,minus1,<IdExpression>,8
superfluous-parens,plusAssign,bracketedPrimary,divide,145
operator-precedence,plus2,star,bracketedPrimary,180
parens,<ExpressionStatement>,bracketedPrimary,array-subscript,2
superfluous-parens,binaryOr,bracketedPrimary,shiftRight,4783
superfluous-parens,assign,bracketedPrimary,binaryAnd,3197
superfluous-parens,notequals,bracketedPrimary,function-call,143
superfluous-parens,tilde,bracketedPrimary,postFixIncr,1
superfluous-parens,binaryOr,bracketedPrimary,not,28
operator-precedence,divide,minus1,<SimpleTypeConstructorExpression>,2
superfluous-parens,binaryAndAssign,bracketedPrimary,<IdExpression>,11
superfluous-parens,binaryAnd,bracketedPrimary,function-call,146
parens,conditional,bracketedPrimary,shiftLeftAssign,1
parens,shiftRight,bracketedPrimary,function-call,173
parens,conditional,bracketedPrimary,<TypeIdExpression>,1
superfluous-parens,multiplyAssign,bracketedPrimary,minus1,2
operator-precedence,multiply,plus1,function-call,3
superfluous-parens,shiftLeftAssign,bracketedPrimary,conditional,1
parens,binaryOrAssign,bracketedPrimary,divide,9
operator-precedence,divide,minus1,function-call,56
superfluous-parens,tilde,bracketedPrimary,bracketedPrimary,156
parens,<ReturnStatement>,bracketedPrimary,greaterEqual,184
superfluous-parens,star,bracketedPrimary,cast,3625
operator-precedence,expression-list,minus1,<LiteralExpression>,21
parens,equals,bracketedPrimary,minusAssign,43
parens,array-subscript,bracketedPrimary,binaryOr,3
parens,conditional,bracketedPrimary,bracketedPrimary,87
parens,expression-list,bracketedPrimary,plusAssign,6
parens,assign,bracketedPrimary,cast,456
parens,multiply,bracketedPrimary,moduloAssign,1
parens,binaryOr,bracketedPrimary,function-call,177
parens,function-call,bracketedPrimary,<LiteralExpression>,10374
operator-precedence,binaryOr,divide,,23
parens,<InitializerList>,bracketedPrimary,minus2,28
superfluous-parens,function-call,bracketedPrimary,divide,321
operator-precedence,equals,tilde,tilde,1
parens,logicalAnd,bracketedPrimary,bracketedPrimary,991
parens,logicalAnd,bracketedPrimary,logicalAnd,1368
operator-precedence,greaterThan,tilde,bracketedPrimary,5
superfluous-parens,binaryOrAssign,bracketedPrimary,logicalOr,40
parens,<ReturnStatement>,bracketedPrimary,sizeof,8
parens,shiftLeft,bracketedPrimary,amper,1
parens,function-call,bracketedPrimary,shiftRight,644
operator-precedence,expression-list,binaryXorAssign,,61
operator-precedence,notequals,shiftRight,,302
parens,<ReturnStatement>,bracketedPrimary,binaryOrAssign,7
superfluous-parens,expression-list,bracketedPrimary,divide,9
parens,multiplyAssign,bracketedPrimary,field-reference,4
parens,<Enumerator>,bracketedPrimary,sizeof,1
parens,<IfStatement>,bracketedPrimary,binaryXor,2
superfluous-parens,delete,bracketedPrimary,function-call,1
parens,shiftRight,bracketedPrimary,greaterThan,17
parens,plus2,bracketedPrimary,modulo,743
superfluous-parens,binaryOr,bracketedPrimary,binaryXor,230
parens,not,bracketedPrimary,binaryXorAssign,1
parens,greaterThan,bracketedPrimary,tilde,1
superfluous-parens,binaryAndAssign,bracketedPrimary,tilde,519
parens,plus2,bracketedPrimary,<TypeIdExpression>,17
superfluous-parens,plus2,bracketedPrimary,plus2,404
superfluous-parens,binaryAndAssign,bracketedPrimary,logicalAnd,13
parens,<SwitchStatement>,bracketedPrimary,field-reference,3
operator-precedence,minus2,minus1,cast,12
parens,<ReturnStatement>,bracketedPrimary,divide,257
superfluous-parens,binaryAndAssign,bracketedPrimary,conditional,18
parens,<EqualsInitializer>,bracketedPrimary,not,10
parens,<IfStatement>,bracketedPrimary,equals,246
parens,divide,bracketedPrimary,array-subscript,7
parens,<ReturnStatement>,bracketedPrimary,postFixIncr,13
superfluous-parens,not,bracketedPrimary,cast,4
superfluous-parens,greaterEqual,bracketedPrimary,modulo,43
parens,binaryAnd,bracketedPrimary,<IdExpression>,4754
operator-precedence,conditional,minus1,<IdExpression>,2978
superfluous-parens,conditional,bracketedPrimary,array-subscript,57
parens,minus1,bracketedPrimary,prefixIncr,1
parens,<TemplateId>,bracketedPrimary,bracketedPrimary,4
parens,<SimpleDeclSpecifier>,bracketedPrimary,function-call,28
parens,multiply,bracketedPrimary,star,391
superfluous-parens,lessThan,bracketedPrimary,minus1,12
parens,lessThan,bracketedPrimary,plus2,2046
parens,<SwitchStatement>,bracketedPrimary,shiftRight,2
parens,divide,bracketedPrimary,binaryAnd,186
parens,binaryXorAssign,bracketedPrimary,<LiteralExpression>,1
parens,<ConstructorInitializer>,bracketedPrimary,star,5
parens,binaryOr,bracketedPrimary,field-reference,145
superfluous-parens,plusAssign,bracketedPrimary,plus2,566
superfluous-parens,greaterThan,bracketedPrimary,lessThan,17
operator-precedence,binaryOr,lessThan,,22
superfluous-parens,assign,bracketedPrimary,pmarrow,1
parens,<EqualsInitializer>,bracketedPrimary,<CompoundStatementExpression>,2
superfluous-parens,logicalOr,bracketedPrimary,star,12
operator-precedence,shiftRight,star,star,2
parens,binaryOrAssign,bracketedPrimary,cast,17
superfluous-parens,plusAssign,bracketedPrimary,binaryXor,6
parens,amper,bracketedPrimary,<TypeIdExpression>,2
parens,cast,bracketedPrimary,throw,2
parens,lessThan,bracketedPrimary,postFixDecr,2
parens,<ReturnStatement>,bracketedPrimary,notequals,1151
parens,logicalAnd,bracketedPrimary,binaryAndAssign,3
parens,notequals,bracketedPrimary,divideAssign,20
parens,lessThan,bracketedPrimary,shiftLeftAssign,1
superfluous-parens,shiftRight,bracketedPrimary,shiftRight,117
superfluous-parens,minusAssign,bracketedPrimary,<LiteralExpression>,1
parens,shiftRight,bracketedPrimary,prefixDecr,4
parens,equals,bracketedPrimary,logicalAnd,56
operator-precedence,binaryOr,star,array-subscript,1
superfluous-parens,lessThan,bracketedPrimary,function-call,69
superfluous-parens,bracketedPrimary,bracketedPrimary,minus1,1
parens,pmdot,bracketedPrimary,field-reference,31
superfluous-parens,minusAssign,bracketedPrimary,conditional,20
parens,not,bracketedPrimary,prefixDecr,32
operator-precedence,binaryAnd,modulo,,7
parens,lessThan,bracketedPrimary,sizeof,1
parens,shiftRight,bracketedPrimary,postFixIncr,1
operator-precedence,logicalAnd,not,prefixIncr,1
parens,bracketedPrimary,bracketedPrimary,star,1012
parens,equals,bracketedPrimary,lessEqual,19
operator-precedence,logicalOr,not,<SimpleTypeConstructorExpression>,1
